id	latitude	longitude	tree_type	height(m)
111	40.333574	36.304241	apple	14.17
112	38.833396	29.226601	pine	16.52
113	41.455	27.877126	pine	2.94
114	37.817774	30.582982	pine	4.23
115	36.056866	44.967588	apple	8.34
116	39.383444	42.95839	apple	15.16
117	37.821018	34.228474	pine	3.75
118	41.170633	33.82596	apple	2.83
119	38.235062	32.11243	apple	17.81
120	39.168255	34.554318	pine	23.18
121	36.315551	29.750494	pine	12.77
122	41.819009	44.745815	apple	6.74
123	39.678912	44.712082	plane	9.22
124	37.623043	37.71714	pine	28.84
125	40.239773	30.852743	pine	3.29
126	37.942266	26.588928	apple	15.96
127	36.594311	33.268956	pine	8.62
128	39.097375	41.914981	pine	23.5
129	39.518755	38.204349	plane	16.19
130	40.618462	36.578575	apple	14.21
131	41.841386	36.947626	apple	15.08
132	40.209795	26.797967	apple	22.12
133	40.001566	37.354247	apple	13.83
134	39.30768	26.296348	plane	18.44
135	39.435769	37.899957	plane	9.17
136	38.930864	36.130559	pine	27.23
137	36.331889	40.873205	plane	26.71
138	40.821763	29.597428	apple	19.72
139	37.349865	29.979815	apple	18.26
140	38.157727	43.559756	plane	26.86
141	38.551152	42.982284	pine	12.73
142	37.432798	30.176215	pine	27.41
143	36.705163	41.975764	plane	23.43
144	39.218735	44.711517	plane	6.09
145	38.083532	27.659997	pine	6.51
146	38.469284	29.793925	plane	16.04
147	40.123658	33.648148	plane	9.97
148	36.25957	39.503775	plane	15.61
149	40.129758	27.321517	pine	2.29
150	38.943489	31.344389	plane	28.32
151	39.11721	30.17906	pine	4.41
152	38.250039	41.671205	apple	28.81
153	37.590249	38.463603	plane	13.27
154	36.56443	42.604193	pine	18.3
155	38.967896	36.924492	apple	2.68
156	40.895298	30.151872	plane	10.16
157	38.60673	31.455656	pine	5.53
158	41.720487	42.825272	plane	29.81
159	39.704022	26.213288	apple	19.08
160	39.774354	29.906308	pine	18.13
161	36.314593	29.797797	apple	6.89
162	40.538227	29.724216	plane	25.86
163	37.939445	27.774323	pine	2.05
164	36.677236	32.356802	apple	11.24
165	42.078092	40.42282	pine	12.94
166	36.189129	43.480535	plane	24.57
167	37.939378	40.698971	pine	26.24
168	36.28584	40.77934	plane	11.44
169	39.893482	33.351783	plane	25.05
170	38.310057	42.090269	pine	22.43
171	36.733359	37.448156	pine	7.95
172	41.269577	42.278024	apple	23.59
173	38.956276	39.682414	pine	10.28
174	41.258829	37.621391	pine	24.15
175	40.001189	37.166912	plane	22.33
176	36.545171	27.013006	plane	10.37
177	39.167515	28.253391	pine	10.22
178	41.119086	31.457958	pine	28.8
179	38.882888	33.642932	plane	5.2
180	36.763787	31.422254	plane	22.83
181	41.438503	43.871768	plane	24.13
182	40.884312	33.318013	apple	9.24
183	41.795865	36.621598	plane	20.37
184	41.613443	28.478724	plane	18.89
185	38.732389	37.151225	plane	9.92
186	40.140497	31.325078	apple	4.84
187	37.569601	44.929261	plane	8.94
188	37.83832	35.728345	plane	8.42
189	42.014363	26.711409	pine	10.46
190	38.780429	42.013296	apple	10.06
191	39.621435	31.553999	plane	9.06
192	40.929482	43.098242	pine	19.73
193	37.238196	34.738413	apple	7.33
194	39.305458	37.391673	pine	24.1
195	37.541952	37.059512	pine	17.44
196	39.481963	35.335094	plane	14.18
197	37.921154	44.055635	plane	17.72
198	40.783097	42.15017	apple	12.17
199	37.371112	34.686087	apple	27.59
200	40.835863	35.602247	plane	3.91
201	40.915175	30.87483	pine	16.1
202	39.752385	40.365504	plane	26.25
203	36.788727	43.413798	plane	20.48
204	40.065821	38.855534	apple	20.36
205	41.699837	28.025724	plane	3.65
206	41.365977	38.663923	plane	14.44
207	41.826629	33.366602	plane	22.84
208	41.452545	34.273099	pine	13.94
209	40.936307	33.022495	pine	11.7
210	38.632589	43.697863	apple	24.68
211	36.53063	26.822931	apple	2.03
212	37.078744	26.879761	apple	22.67
213	41.084227	28.591512	apple	27.44
214	36.302754	28.969661	pine	10.7
215	40.6641	41.969542	plane	15.25
216	38.923201	29.271856	pine	23.28
217	38.411302	41.872184	apple	24.64
218	39.055558	36.244836	plane	7.17
219	38.831358	36.9422	plane	24.03
220	38.97906	34.56926	apple	7.67
221	38.603388	30.751612	apple	25.41
222	37.895345	35.917213	apple	20.56
223	37.431146	41.324233	apple	7.84
224	42.088295	41.452567	plane	7.5
225	36.28033	41.834957	apple	21.0
226	36.157363	32.787232	apple	11.65
227	37.250764	29.446327	plane	16.85
228	40.811752	44.094184	apple	25.47
229	36.330369	43.336362	plane	8.21
230	40.672551	30.143427	pine	3.18
231	39.58616	26.748585	pine	4.85
232	38.62829	39.62955	pine	2.26
233	40.164779	37.453954	pine	14.21
234	38.790755	29.031519	plane	14.1
235	39.771999	36.353691	apple	4.15
236	39.045913	34.107972	apple	10.38
237	41.192286	27.172684	apple	14.36
238	38.093873	35.642489	apple	15.47
239	40.985016	30.140694	apple	21.21
240	40.633484	30.888199	apple	16.55
241	40.31456	27.151576	pine	12.65
242	39.253237	26.579526	pine	8.79
243	39.098603	31.129436	apple	2.03
244	40.915203	37.220164	apple	5.13
245	40.610663	33.872677	apple	21.54
246	39.858066	28.657854	apple	12.55
247	36.467788	31.664516	plane	29.74
248	36.611697	26.51991	plane	28.55
249	41.041321	33.501821	apple	27.48
250	36.498411	34.944069	apple	2.09
251	40.748039	30.279944	plane	24.37
252	36.962907	43.23403	plane	28.42
253	37.102876	30.163505	plane	29.65
254	38.025895	31.03617	apple	22.36
255	37.47052	37.570234	apple	14.45
256	41.101985	38.56185	apple	25.09
257	37.511928	43.878651	pine	3.08
258	39.673922	26.656629	plane	20.95
259	39.582003	31.167168	apple	20.7
260	36.279408	40.454382	pine	5.55
261	37.739032	34.296517	apple	18.95
262	37.111987	43.460014	plane	17.45
263	38.094005	42.88881	apple	26.57
264	37.820654	44.924608	plane	9.15
265	40.865751	29.653588	plane	19.33
266	41.656464	26.43949	plane	25.82
267	39.763624	34.539164	apple	3.14
268	41.306041	39.905685	pine	22.62
269	37.814461	37.502875	apple	9.06
270	40.258312	31.879647	apple	14.72
271	36.505223	41.810679	pine	11.14
272	38.126487	32.58009	pine	6.95
273	37.804129	34.239244	pine	6.33
274	41.321388	37.388219	plane	26.28
275	37.871771	29.554206	pine	11.23
276	36.708375	28.30362	pine	27.95
277	40.729164	27.944435	plane	15.69
278	38.504097	43.908969	plane	10.24
279	39.473881	32.854452	pine	4.57
280	39.04768	43.48076	apple	21.41
281	37.294973	33.779501	pine	18.82
282	40.009659	36.236525	plane	8.98
283	38.587884	43.68674	apple	27.71
284	39.661457	40.671969	pine	27.98
285	37.861133	44.537111	pine	13.79
286	38.900225	30.967812	pine	27.77
287	39.284663	26.47091	plane	14.63
288	40.187128	32.243843	pine	29.84
289	37.965859	30.932828	plane	25.66
290	38.878176	38.376257	plane	27.38
291	39.160898	35.685256	plane	15.0
292	41.670272	39.369063	pine	21.63
293	40.731517	38.162939	apple	24.25
294	39.236799	37.847986	apple	19.64
295	36.636546	42.864324	apple	29.61
296	36.269605	26.190866	plane	16.59
297	40.925209	30.767623	plane	9.94
298	38.403227	37.498529	apple	19.95
299	41.174712	26.771053	pine	17.44
300	38.13982	28.243972	pine	12.85
301	39.19066	32.634538	apple	27.1
302	39.978128	44.911895	plane	16.4
303	38.036579	33.110374	plane	6.33
304	38.997473	44.960009	plane	2.53
305	41.475118	32.457311	pine	8.23
306	41.207432	30.915492	apple	22.36
307	39.972342	37.835718	plane	2.37
308	39.760629	26.255619	pine	24.02
309	37.312029	32.071492	pine	8.25
310	38.604546	31.909591	plane	14.17
311	37.910012	34.959449	pine	19.98
312	36.679454	44.552897	apple	24.9
313	36.550321	39.943734	plane	18.96
314	40.837516	28.826489	pine	6.63
315	38.734977	38.833864	apple	5.74
316	41.25602	29.087228	pine	12.52
317	41.402566	41.204657	pine	14.52
318	36.682433	44.776516	apple	8.5
319	39.913342	32.267884	plane	29.65
320	41.54752	44.383202	pine	22.14
321	40.315612	40.228886	plane	15.7
322	40.202075	37.631006	plane	17.9
323	37.540703	38.88352	apple	21.19
324	36.133042	34.850253	pine	29.68
325	38.572166	41.65875	apple	3.6
326	41.196427	28.798981	pine	8.04
327	39.629963	33.34692	plane	14.62
328	36.746878	35.467612	pine	27.75
329	36.318173	35.941059	apple	27.47
330	41.728182	38.965474	plane	5.3
331	37.50057	32.902084	apple	16.27
332	40.012244	31.118509	pine	22.0
333	38.949852	39.770355	apple	9.3
334	39.689446	36.257745	apple	24.68
335	36.286793	37.657098	pine	12.49
336	38.577501	26.792935	plane	23.06
337	36.68914	39.919141	plane	14.68
338	36.201161	32.538475	plane	21.46
339	39.286271	26.796305	apple	19.52
340	40.825405	29.84464	apple	18.42
341	40.991635	36.580797	apple	22.06
342	41.777475	38.18672	pine	22.7
343	37.278512	30.845436	apple	19.95
344	38.207737	27.272118	apple	20.75
345	40.9048	41.534212	apple	2.22
346	36.806084	33.666944	pine	15.14
347	40.379401	26.659835	apple	22.44
348	38.532223	30.468819	apple	10.65
349	38.828894	42.270846	pine	12.93
350	41.105986	33.656852	pine	5.75
351	38.115503	34.630701	plane	11.09
352	39.775674	33.304765	plane	4.32
353	37.603892	42.468254	apple	11.97
354	38.301649	39.892843	apple	15.74
355	41.174854	44.209947	plane	2.49
356	38.716914	40.423467	apple	18.97
357	40.705184	40.330112	pine	18.98
358	39.136328	35.656487	pine	18.78
359	36.105786	31.377319	plane	22.82
360	41.580982	32.422084	apple	25.26
361	40.670782	28.677316	plane	18.3
362	39.605234	32.319265	apple	15.32
363	40.740658	28.992916	apple	10.41
364	41.806916	41.005688	plane	29.03
365	38.278518	40.656079	pine	3.18
366	38.852343	33.831917	plane	29.89
367	41.15778	36.099627	pine	26.79
368	40.428299	43.507418	pine	16.57
369	37.657057	38.464735	pine	19.14
370	37.536998	42.804164	plane	11.78
371	40.01274	39.559418	pine	24.83
372	40.806966	44.191148	apple	28.78
373	39.299685	42.042678	apple	10.41
374	38.336147	34.555079	pine	16.62
375	41.147999	32.052686	apple	29.2
376	41.371786	26.922527	plane	13.42
377	40.923472	44.15422	pine	11.87
378	40.263785	43.198303	apple	25.12
379	40.366718	29.179389	pine	16.12
380	38.218002	33.330483	pine	14.37
381	38.03472	30.479906	plane	14.66
382	39.760038	34.657098	plane	24.66
383	39.059613	44.587383	plane	17.58
384	41.513341	39.508382	apple	12.52
385	36.54092	26.992147	plane	18.62
386	38.897404	33.484012	pine	14.16
387	40.87424	30.345642	plane	10.25
388	36.711642	43.272703	pine	15.58
389	38.657194	35.555444	apple	8.75
390	36.95865	44.694035	plane	2.44
391	37.478302	27.102059	pine	16.67
392	41.49036	40.493213	pine	24.36
393	39.951399	32.454093	apple	26.23
394	39.250144	43.701053	apple	21.1
395	38.781192	43.732698	pine	23.49
396	37.249854	43.778285	apple	26.89
397	41.8577	36.654671	plane	10.79
398	40.972592	37.905126	plane	27.0
399	40.770068	33.496987	plane	10.0
400	36.143206	37.010475	plane	29.03
401	38.770358	35.024238	apple	7.59
402	38.387803	44.33228	plane	6.45
403	38.663099	31.18471	plane	14.78
404	40.037486	26.855302	pine	14.93
405	40.867705	29.978464	plane	19.25
406	39.091904	28.381959	plane	27.49
407	39.193422	26.931244	plane	6.0
408	41.866564	35.285677	plane	5.52
409	37.016037	30.245667	pine	17.21
410	36.919165	26.813778	plane	10.7
411	41.634302	44.024965	pine	21.2
412	39.586749	42.132863	apple	29.47
413	36.824259	41.484166	plane	28.19
414	40.272749	43.260052	pine	3.77
415	40.950504	37.877979	apple	24.13
416	39.948963	32.412794	plane	11.47
417	41.121184	27.237113	plane	17.41
418	40.687657	41.078021	pine	21.48
419	40.255573	41.1089	pine	8.27
420	37.217684	44.240775	apple	27.9
421	36.011057	44.814464	plane	3.22
422	37.140309	35.884403	pine	13.28
423	40.283809	31.513428	plane	24.55
424	39.538091	35.018595	plane	10.81
425	39.503082	40.852023	apple	4.35
426	40.097459	31.915773	pine	4.47
427	36.675677	34.577489	plane	13.39
428	39.160557	37.372119	apple	8.7
429	41.405007	40.872323	apple	13.51
430	39.391186	28.255315	apple	20.17
431	41.659724	39.435594	pine	22.68
432	36.18963	42.57122	plane	2.31
433	37.160899	41.346025	pine	16.98
434	36.028872	32.892387	pine	18.18
435	40.87244	42.190514	pine	10.26
436	38.647288	28.017101	apple	10.24
437	41.079376	40.695021	pine	5.11
438	38.292605	44.117768	apple	6.04
439	37.893721	30.359651	apple	12.91
440	36.452414	34.198881	pine	28.21
441	38.71186	26.379666	pine	26.75
442	39.767426	29.649979	pine	11.92
443	40.817436	36.422117	pine	18.6
444	39.85948	31.964257	apple	20.92
445	37.208165	39.427485	pine	23.53
446	36.630567	29.637399	plane	25.9
447	37.906728	26.387337	pine	9.2
448	36.708241	38.349417	pine	20.22
449	39.492374	29.103516	apple	17.6
450	39.099179	37.245597	pine	25.13
451	40.580313	34.104507	apple	9.43
452	37.308146	38.973423	apple	12.92
453	37.539072	28.773598	apple	3.2
454	36.882419	35.806845	apple	26.75
455	39.217221	27.015043	plane	6.84
456	39.19162	44.661772	plane	15.71
457	41.247683	38.837144	pine	14.52
458	39.617047	39.160539	pine	22.28
459	38.13095	31.519492	apple	9.06
460	37.588598	40.954634	plane	5.77
461	40.667944	26.835771	plane	11.41
462	40.571397	26.45743	plane	18.18
463	41.733149	33.743702	plane	20.44
464	39.092311	37.259783	pine	18.63
465	40.38839	34.969622	plane	5.9
466	37.754092	28.113215	plane	12.51
467	40.696492	35.935278	plane	5.24
468	38.105481	35.333561	apple	10.58
469	41.135408	35.904665	apple	5.44
470	36.916105	26.515857	plane	16.41
471	37.480904	32.657812	pine	28.26
472	36.991839	36.660878	plane	15.56
473	36.603738	44.086045	plane	17.76
474	38.426354	27.263369	pine	23.15
475	36.050143	32.67874	plane	10.63
476	39.115979	30.48005	apple	16.1
477	37.649458	43.876614	plane	7.35
478	36.27571	37.188461	apple	16.99
479	36.065052	44.291251	pine	8.11
480	37.755994	42.14846	plane	13.75
481	38.637055	43.816965	apple	18.59
482	40.973471	44.437051	plane	15.4
483	42.072147	28.416447	pine	19.37
484	37.922739	41.917018	apple	15.52
485	41.965354	42.279789	plane	27.83
486	37.749828	41.505326	apple	22.67
487	36.820945	27.760529	plane	3.08
488	38.310299	29.237024	apple	21.94
489	38.262515	44.071238	apple	20.51
490	39.663596	42.968398	pine	13.33
491	37.082685	28.871068	pine	10.16
492	36.410098	32.222872	pine	26.75
493	36.52551	33.629714	plane	7.93
494	41.003432	32.346502	apple	22.18
495	36.498028	44.085808	plane	20.3
496	38.232175	43.187732	plane	7.2
497	38.182509	35.423808	pine	17.97
498	37.796907	31.421904	plane	17.17
499	41.47888	44.822031	apple	5.74
500	41.648523	40.127361	apple	7.12
501	39.413129	31.154589	plane	19.49
502	37.26846	43.425816	apple	26.02
503	41.124969	30.853536	plane	4.9
504	41.691532	34.742353	plane	6.15
505	41.058187	36.624511	apple	23.27
506	40.443963	37.20307	apple	22.34
507	39.23515	36.645251	apple	6.1
508	36.821191	40.197731	apple	12.78
509	36.104207	34.074744	pine	9.78
510	41.223814	31.06756	plane	29.49
511	38.851632	32.551784	plane	8.56
512	36.524385	33.256084	pine	14.83
513	38.154025	44.642992	pine	22.45
514	42.043434	30.062076	pine	5.85
515	41.301579	43.359148	plane	28.69
516	37.653607	28.919505	apple	11.93
517	36.327705	44.525872	apple	10.37
518	36.65887	31.753801	apple	22.15
519	37.071772	32.144692	pine	21.19
520	41.706712	43.452378	apple	3.2
521	38.169593	29.819899	plane	5.1
522	36.081995	42.646877	pine	19.89
523	37.606118	31.068948	plane	22.38
524	36.350787	27.54968	apple	7.63
525	40.867918	40.726535	apple	20.28
526	40.209324	30.165357	pine	15.22
527	41.097459	28.429162	pine	17.66
528	40.740952	31.322452	pine	3.99
529	37.794735	36.704866	apple	16.24
530	41.628328	35.704442	apple	17.79
531	38.993249	35.536025	plane	4.15
532	40.115211	28.131232	plane	10.86
533	41.91369	29.44653	pine	19.82
534	38.18576	31.245678	pine	5.09
535	39.322844	29.427983	plane	5.93
536	39.626685	42.518663	apple	13.68
537	41.720684	36.333062	plane	20.81
538	36.664624	43.503831	plane	9.55
539	36.412469	31.223443	plane	8.64
540	41.132819	42.99008	apple	7.28
541	36.071004	27.514101	plane	15.24
542	40.158432	38.93495	apple	21.44
543	36.495483	43.746414	pine	28.51
544	37.001274	28.607907	plane	6.78
545	40.845395	38.45954	apple	20.6
546	40.170443	34.27044	pine	12.72
547	40.734493	34.941006	apple	22.47
548	36.460163	41.260223	apple	9.97
549	41.948952	41.225098	plane	7.01
550	36.095298	37.694569	apple	16.1
551	37.693297	27.352662	pine	28.99
552	41.384357	38.512756	apple	9.22
553	40.717227	32.874391	pine	19.24
554	40.695638	42.860372	plane	12.91
555	38.821393	42.224896	apple	6.11
556	38.795547	42.302011	apple	3.95
557	40.623184	35.687356	pine	23.76
558	41.496325	33.39042	plane	10.61
559	40.97359	26.50466	plane	11.44
560	36.110444	29.063729	pine	18.63
561	41.52472	38.171657	plane	22.06
562	37.095037	36.59943	pine	9.71
563	40.898641	27.680515	pine	18.07
564	40.117554	30.680172	plane	5.18
565	41.962136	26.07616	pine	4.57
566	38.917014	35.947485	pine	18.1
567	37.792513	37.391878	apple	22.42
568	40.983112	42.35129	apple	15.97
569	39.355247	38.27806	plane	2.95
570	37.387212	29.870917	pine	18.4
571	37.039438	30.636678	pine	7.34
572	37.718668	33.64484	pine	22.99
573	42.097519	31.992391	apple	17.89
574	39.890205	40.012086	plane	12.32
575	36.386174	43.410258	plane	3.97
576	39.990654	28.54815	plane	4.61
577	40.136056	35.603683	pine	22.75
578	39.147012	30.399613	apple	25.59
579	37.887988	41.393402	apple	22.36
580	38.563292	28.676437	plane	3.86
581	39.615192	32.214915	pine	25.19
582	38.618997	29.56847	apple	29.07
583	39.856967	32.595702	plane	25.73
584	36.120152	26.966266	apple	19.37
585	41.216027	26.618286	pine	16.48
586	41.751939	34.038917	plane	5.93
587	36.623614	36.262459	apple	26.63
588	37.921685	33.930095	pine	5.19
589	39.784982	37.125665	plane	11.62
590	38.567515	38.193442	plane	29.21
591	39.554282	40.349732	plane	27.47
592	41.786683	35.511085	apple	29.02
593	38.634008	28.444225	apple	20.13
594	40.237177	38.67382	pine	15.01
595	36.407003	32.349114	pine	2.27
596	41.180692	29.511311	apple	17.6
597	40.619386	33.875466	pine	7.27
598	37.411606	38.230364	plane	3.16
599	39.957279	29.65749	pine	11.29
600	41.87556	30.49944	apple	13.06
601	36.271183	39.398291	apple	9.77
602	40.174636	26.843837	plane	3.23
603	39.076559	28.214482	plane	3.76
604	36.402261	35.669653	apple	21.75
605	38.492246	38.479352	apple	11.48
606	37.764996	35.921846	pine	6.38
607	37.151274	32.009426	apple	3.33
608	38.086629	43.960308	plane	4.68
609	37.801491	31.448643	pine	25.88
610	41.303684	26.525428	pine	3.26
611	37.913978	28.316614	plane	2.37
612	36.447539	40.128252	plane	21.66
613	36.029173	37.402357	pine	27.75
614	36.298495	31.188199	pine	11.04
615	37.717854	39.113937	apple	29.59
616	38.748701	28.681311	pine	26.82
617	36.347194	30.895115	apple	11.74
618	40.633141	27.035023	pine	29.85
619	36.406648	43.906273	apple	16.16
620	38.190348	29.090999	plane	3.44
621	36.875239	33.722979	pine	29.01
622	36.20371	39.802386	plane	19.19
623	36.175042	43.170837	pine	26.69
624	38.145393	33.359633	pine	9.46
625	36.543491	34.516235	apple	9.22
626	41.416607	27.980502	apple	18.37
627	37.043559	36.032538	apple	2.97
628	37.317314	27.220417	pine	3.3
629	39.147656	28.440013	apple	13.86
630	40.618911	40.944703	pine	8.49
631	40.926716	33.101661	apple	21.13
632	38.550636	30.851363	plane	27.35
633	38.951718	32.832901	apple	28.96
634	39.059101	42.52046	apple	4.57
635	37.64029	31.578715	pine	6.08
636	38.667262	33.444273	plane	25.08
637	38.125656	35.74916	plane	17.5
638	40.320244	26.669805	apple	11.7
639	40.303671	37.998385	plane	25.05
640	40.031074	37.048036	pine	14.68
641	37.600631	31.06998	apple	27.98
642	36.159256	31.504315	plane	6.83
643	37.949256	35.905752	apple	4.46
644	40.663934	32.83978	apple	22.1
645	41.359517	31.500148	plane	15.56
646	41.485205	34.9703	plane	16.37
647	37.580777	44.568242	apple	28.77
648	37.730233	28.232188	apple	4.82
649	40.7149	39.586615	plane	8.14
650	38.179733	41.961026	pine	17.77
651	39.259168	29.945159	plane	16.36
652	39.504084	30.354813	apple	5.7
653	37.077965	36.123299	plane	9.09
654	38.093159	28.209798	plane	12.31
655	36.132196	31.55356	pine	8.59
656	36.992069	29.912333	plane	24.74
657	37.976303	26.387806	pine	21.98
658	37.585235	40.194519	plane	14.89
659	37.976756	39.562883	apple	8.34
660	38.648835	37.052936	apple	20.31
661	36.119191	27.071294	pine	8.58
662	40.442195	29.266781	apple	24.78
663	41.836492	44.852869	pine	25.09
664	36.479396	40.193768	apple	13.11
665	36.224876	37.814689	plane	3.79
666	40.446404	40.94841	apple	6.44
667	38.52115	30.054788	pine	16.17
668	36.372425	43.09154	pine	6.99
669	39.030421	26.982935	apple	6.3
670	39.008056	33.682547	apple	9.97
671	41.355502	26.789703	apple	20.22
672	41.927659	27.206342	plane	5.76
673	40.918204	36.243293	pine	21.43
674	38.512933	41.30014	apple	6.82
675	38.475806	33.130745	apple	4.0
676	37.00646	34.924885	pine	11.57
677	37.735285	34.742725	pine	25.05
678	36.303611	42.70476	apple	27.37
679	41.45867	43.557262	plane	2.22
680	36.071495	32.631258	apple	28.65
681	37.415164	27.129478	plane	8.6
682	38.029329	43.789266	pine	7.96
683	36.508598	38.704776	apple	25.79
684	36.040905	36.406104	plane	25.0
685	37.788221	34.727966	pine	21.4
686	37.16292	38.212048	plane	21.73
687	42.095819	37.285698	pine	27.95
688	37.623195	43.291034	pine	27.47
689	41.727906	26.484713	apple	15.11
690	37.647756	38.866311	pine	22.05
691	39.183079	38.366115	plane	11.58
692	40.960697	34.964292	plane	25.09
693	37.912831	43.982446	pine	9.32
694	36.8278	44.392768	plane	20.35
695	36.462498	30.627232	plane	11.83
696	37.439707	30.741345	apple	4.36
697	39.953097	27.109296	pine	29.07
698	38.855665	38.449507	plane	7.47
699	41.620127	27.184393	plane	7.23
700	41.86339	29.175521	plane	17.52
701	40.051591	30.83675	pine	20.58
702	37.247084	29.635322	pine	12.61
703	37.939338	27.240058	apple	8.62
704	36.087521	34.025748	apple	14.31
705	39.019388	28.653861	pine	8.05
706	38.310399	30.965392	pine	17.26
707	38.500547	35.938007	pine	2.09
708	41.749824	33.366815	apple	8.47
709	39.571869	31.254888	plane	23.01
710	37.191697	44.4134	plane	15.19
711	36.569499	42.452877	apple	28.46
712	40.79156	44.128637	pine	7.95
713	36.769965	39.714356	plane	17.89
714	41.601457	26.510531	pine	24.44
715	37.459891	34.255441	apple	29.14
716	41.518255	27.48572	pine	3.53
717	41.452898	26.191294	plane	14.1
718	37.79939	44.405034	apple	15.54
719	41.32338	26.073641	apple	8.18
720	36.110331	33.773917	apple	12.3
721	40.690591	33.879934	pine	13.92
722	40.241331	37.702018	pine	26.34
723	41.631363	28.622851	plane	3.14
724	37.390552	31.12038	apple	13.44
725	36.437225	41.173962	pine	22.11
726	40.716198	41.575563	plane	24.56
727	42.034227	26.848565	apple	21.5
728	40.92358	31.874878	pine	13.96
729	39.480295	35.577381	plane	14.42
730	39.818712	30.47279	plane	11.91
731	37.231636	33.132099	plane	14.45
732	37.207673	28.163807	plane	25.9
733	38.481846	40.639959	apple	2.63
734	39.951262	29.568383	plane	2.73
